County,county_type,year,annual_mean_all,total_pop,pop_density,housing_density,hh_income,land_use,State,EPA_region,native_prop,popd_q,hhinc_q
01003,0,2001,10.552586,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2002,10.232743,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2003,12.169298,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2004,11.217592999999999,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2005,11.58,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2006,11.340777,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2007,10.441818,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2010,10.238525,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2011,9.953913,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2012,9.200826,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2013,8.383784,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2014,8.906838,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2015,8.631579,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2016,7.226445999999999,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2017,7.391818,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01003,0,2018,7.158879,182265,114.6,65.5,50147,4,1,4,0.006671604531862947,"(112,201]","(4.87e+04,5.22e+04]"
01027,0,2000,16.127619,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2001,12.808107999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2002,13.199152999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2003,13.488287999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2004,13.015789,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2005,13.473333,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2006,13.012397,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2007,12.858474999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2008,10.8,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2009,9.132773,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2010,10.536283,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2011,10.60339,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2012,8.887603,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2013,8.045762999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2014,8.903509,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2015,8.254464,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2016,7.363792999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2017,7.9067799999999995,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01027,0,2018,7.011818,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,"(10.8,34.2]","[2.47e+04,3.64e+04]"
01033,0,2000,15.616038,54428,91.8,43.5,39610,4,1,4,0.004905563313000662,"(67.8,112]","(3.9e+04,4.21e+04]"
01033,0,2001,12.668000000000001,54428,91.8,43.5,39610,4,1,4,0.004905563313000662,"(67.8,112]","(3.9e+04,4.21e+04]"
01033,0,2002,12.552083,54428,91.8,43.5,39610,4,1,4,0.004905563313000662,"(67.8,112]","(3.9e+04,4.21e+04]"
01033,0,2003,12.837069,54428,91.8,43.5,39610,4,1,4,0.004905563313000662,"(67.8,112]","(3.9e+04,4.21e+04]"
