Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocD,esc,Sponsor,ProgramKey,NumPOCs
Tallgrass,TALL1,IMPFSPED,US,KS,20017,200170001,38.4341,-96.5602,390,9/2/02,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Theodore Roosevelt,THRO1,IMPFSPED,US,ND,38007,380070002,46.8948,-103.3777,852,12/15/99,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,1
Three Sisters Wilderness,THSI1,IMPFSPED,US,OR,41039,410390070,44.291,-122.0434,885,6/2/93,12/31/18,-999,Unknown,-999,Carm,"en Smith Project EWEB facility radio transmitter bldg,  3/4 mile N. of","Trail Bridge Campground, OR, Rt.126                USFS",IMPROVE,1
Thunder Basin,THBA1,IMPFSPED,US,WY,56005,560050123,44.6634,-105.2874,1195,6/1/02,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Tonto NM,TONT1,IMPFSPED,US,AZ,4007,40070010,33.6548,-111.1068,775,3/2/88,12/31/18,-999,Unknown,-999,Next,to maintenance building,NPS,IMPROVE,1
Toolik Lake Field Station,TOOL1,IMPFSPED,US,AK,2185,21859000,68.63178,-149.60601,740,11/13/18,12/31/18,-999,Unknown,-999,Univ,ersity of Alaska Fairbanks Field Station,BLM,IMPROVE,1
Trapper Creek,TRCR1,IMPFSPED,US,AK,2170,21700011,62.3153,-150.3156,155,9/13/01,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,2
Trinity,TRIN1,IMPFSPED,US,CA,6105,61059000,40.7864,-122.8046,1014,10/18/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Tuxedni,TUXE1,IMPFSPED,US,AK,2122,21220009,59.9925,-152.6656,15,12/3/01,1/12/15,-999,Unknown,-999,-999,,FWS,IMPROVE,1
UL Bend,ULBE1,IMPFSPED,US,MT,30027,300279000,47.58227,-108.71964,891,1/26/00,12/31/18,-999,Unknown,-999,-999,,FWS,IMPROVE,1
Upper Buffalo Wilderness,UPBU1,IMPFSPED,US,AR,5101,51019000,35.8258,-93.203,722,12/4/91,12/31/18,-999,Unknown,-999,1 mi,"le north of USFS workstation, Deer, AL, at Cooper Residence",USFS,IMPROVE,1
Viking Lake,VILA1,IMPFSPED,US,IA,19137,191370002,40.969,-95.045,371,5/8/02,12/31/18,-999,-999,-999,-999,,STATE,IMPROVE,1
Virgin Islands NP,VIIS1,IMPFSPED,US,VI,78020,780209000,18.3363,-64.7962,51,9/1/90,12/31/18,-999,Unknown,-999,Bios,"phere Reserve Complex, Lind Point, St. John, VI",NPS,IMPROVE,1
Voyageurs NP #1,VOYA1,IMPFSPED,US,MN,27137,271379001,48.4132,-92.8303,425,3/2/88,12/29/99,-999,Unknown,-999,1 mi,"le NW of Visitor Center, End of road 129,",NPS,IMPROVE,1
Voyageurs NP #2,VOYA2,IMPFSPED,US,MN,27137,271379000,48.4126,-92.8286,429,3/2/88,12/31/18,-999,Unknown,-999,-999,,-999,IMPROVE,1
Walker River Paiute Tribe,WARI1,IMPFSPED,US,NV,32021,320219000,38.9519,-118.8146,1250,6/2/03,10/31/05,-999,-999,-999,-999,,TRIBE,IMPROVE,1
Washington D.C.,WASH1,IMPFSPED,US,DC,11001,110010042,38.8762,-77.0344,15,3/2/88,6/8/15,-999,Unknown,-999,Natl,". Capitol Region Park Police HQ, on roof",NPS,IMPROVE,1
Weminuche Wilderness,WEMI1,IMPFSPED,US,CO,8111,81119000,37.6594,-107.79988,2750,3/2/88,12/31/18,-999,Unknown,-999,USFS,fire station 30 miles N of Durango 1 mile N of Purgatory Ski Area,USFS,IMPROVE,1
Wheeler Peak,WHPE1,IMPFSPED,US,NM,35055,350559000,36.5854,-105.452,3366,8/16/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
White Mountain,WHIT1,IMPFSPED,US,NM,35027,350279000,33.4687,-105.5349,2063,12/3/01,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
White Pass,WHPA1,IMPFSPED,US,WA,53041,530410007,46.6243,-121.3881,1827,2/16/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
White River NF,WHRI1,IMPFSPED,US,CO,8097,80979000,39.1536,-106.8209,3413,6/2/93,12/31/18,-999,Unknown,-999,USFS,"Communication Facility, at Tourtellotte Park, Aspen Mt. Ski Area, Asp","en, CO                                              USFS",IMPROVE,1
Wichita Mountains,WIMO1,IMPFSPED,US,OK,40031,400319000,34.7323,-98.713,509,3/2/01,12/31/18,-999,Unknown,-999,-999,,FWS,IMPROVE,1
Wind Cave,WICA1,IMPFSPED,US,SD,46033,460330132,43.5576,-103.4838,1296,12/15/99,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,2
Wrightwood,WRIG1,IMPFSPED,US,CA,6071,-999,34.37892,-117.69211,2106,10/1/09,10/15/12,-999,Unknown,-999,-999,,-999,IMPROVE,1
Yellowstone NP 1,YELL1,IMPFSPED,US,WY,56039,560399001,44.5654,-110.4003,2442,3/9/88,12/29/99,-999,Unknown,-999,SW o,"f Fishing Bridge, Yellowstone Lake above maintenance yard and seasonal","employee housing/campground. , Lake Ranger Office  NPS",IMPROVE,1
Yellowstone NP 2,YELL2,IMPFSPED,US,WY,56039,560399000,44.5653,-110.4002,2425,3/2/88,12/31/18,-999,Unknown,-999,-999,,-999,IMPROVE,1
Yosemite NP,YOSE1,IMPFSPED,US,CA,6043,60430003,37.7133,-119.7061,1603,3/2/88,12/31/18,-999,Unknown,-999,Turt,"leback Dome, 1 mi W of Tunnel View",NPS,IMPROVE,2
Yosemite NP,YOSEX,IMPFSPED,US,CA,6043,-999,37.7133,-119.7061,1603,11/2/12,7/29/15,-999,Unknown,-999,Turt,"leback Dome, 1 mi W of Tunnel View",NPS,IMPROVE,1
Zion,ZION1,IMPFSPED,US,UT,49053,490539000,37.4591,-113.2243,1545,3/25/00,8/22/04,-999,Unknown,-999,-999,,NPS,IMPROVE,1
Zion Canyon,ZICA1,IMPFSPED,US,UT,49053,490530130,37.1983,-113.1508,1215,12/1/02,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
