Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocD,esc,Sponsor,ProgramKey,NumPOCs
Great Basin NP,GRBA1,IMPFSPED,US,NV,32033,320339000,39.0052,-114.2161,2065,3/4/92,12/31/18,-999,Unknown,-999,Resi,"dence area 1 mi E of VC, 200 yds south of maintenance area",NPS,IMPROVE,1
Great Gulf Wilderness,GRGU1,IMPFSPED,US,NH,33007,330074002,44.3082,-71.2177,453,6/3/95,12/31/18,-999,Unknown,-999,Camp,"Dodge, White Mt NF, S of Gorham, NH",USFS,IMPROVE,1
Great River Bluffs,GRRI1,IMPFSPED,US,MN,27169,271699000,43.9373,-91.4052,370,6/1/02,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Great Sand Dunes NM,GRSA1,IMPFSPED,US,CO,8003,80039000,37.7249,-105.5185,2498,3/2/88,12/31/18,-999,Unknown,-999,Monu,ment Headquarters,NPS,IMPROVE,1
Great Smoky Mountains NP,GRSM1,IMPFSPED,US,TN,47009,470090101,35.6334,-83.9416,810,3/2/88,12/31/18,-999,Unknown,-999,Look,"Rock, 8 mi S of Maryville, TN",NPS,IMPROVE,1
Great Smoky Mountains NP (PM10 Speciatio,n)  GRSM9,IMPFSPED,US,TN,-999,-999,35.6334,-83.9417,815,1/1/05,4/28/05,-999,-999,-999,Look,"Rock, 8 mi S of Maryville, TN",NPS,IMPROVE,1
Guadalupe Mountains NP,GUMO1,IMPFSPED,US,TX,48109,481099000,31.833,-104.8094,1672,3/2/88,12/31/18,-999,Unknown,-999,10 m,iles SW of Frijole at FAA site,NPS,IMPROVE,1
Haleakala Crater,HACR1,IMPFSPED,US,HI,-999,-999,20.7585,-156.2479,2158,1/24/07,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Haleakala NP,HALE1,IMPFSPED,US,HI,15009,150099000,20.8086,-156.2823,1153,12/1/90,5/30/12,-999,Unknown,-999,Olin,da Research facility,NPS,IMPROVE,1
Hance Camp at Grand Canyon NP,GRCA2,IMPFSPED,US,AZ,4005,40058102,35.9731,-111.9841,2267,3/2/96,12/31/18,-999,Unknown,-999,200,"yds S of East Rim Drive, 1.2 miles S of Grandview Point turnoff",-999,IMPROVE,1
Hawaii Volcanoes NP,HAVO1,IMPFSPED,US,HI,15001,150019002,19.4309,-155.2579,1258,3/2/88,12/31/18,-999,Unknown,-999,Behi,nd Craft Center,NPS,IMPROVE,1
Hells Canyon,HECA1,IMPFSPED,US,OR,41063,410630002,44.9702,-116.8438,655,9/3/00,12/31/18,-999,Unknown,-999,hill,top W of Oxbow Dam,USFS,IMPROVE,1
Hercules-Glades,HEGL1,IMPFSPED,US,MO,29213,292130003,36.6138,-92.9221,404,3/2/01,12/31/18,-999,Unknown,-999,12 m,"i E of Forsythe, MO",USFS,IMPROVE,2
Hillside,HILL1,IMPFSPED,US,AZ,4025,40250005,34.4289,-112.9628,1510,4/19/01,5/31/05,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Hoover,HOOV1,IMPFSPED,US,CA,6051,60519000,38.0881,-119.1771,2560,6/6/01,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,2
Hopi Point #1,GRCA1,IMPFSPED,US,AZ,4005,40052002,36.0658,-112.1539,2164,3/2/88,12/29/99,-999,Unknown,-999,Hopi,Point Fire Tower,-999,IMPROVE,1
Houston Deer Park #2,HOUS1,IMPFSPED,US,TX,48201,482011039,29.6698,-95.1285,7,3/1/04,8/29/05,-999,-999,-999,-999,,STN,IMPROVE,2
Ike's Backbone,IKBA1,IMPFSPED,US,AZ,4025,40258104,34.3405,-111.6832,1297,3/29/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Indian Gardens,INGA1,IMPFSPED,US,AZ,4005,40058100,36.0778,-112.1288,1166,9/2/89,5/13/13,-999,Unknown,-999,Indi,"an Gardens picnic area, Grand Canyon NP, Ranger Station",NPS,IMPROVE,1
Is 52,NEYO1,IMPFSPED,US,NY,36005,360050110,40.8161,-73.9019,45,8/1/04,6/7/10,-999,-999,-999,-999,,STN,IMPROVE,1
Isle Royale NP,ISLE1,IMPFSPED,US,MI,26083,260839000,47.4596,-88.1491,182,11/17/99,12/31/18,-999,Unknown,-999,Near,the boat ramp on point opposite town of Eagle Harbor,NPS,IMPROVE,1
Isle Royale NP,ISRO1,IMPFSPED,US,MI,26083,260839001,47.9167,-89.15,213,6/1/88,12/29/99,-999,Unknown,-999,Wind,igo Ranger Station,-999,IMPROVE,1
James River Face Wilderness,JARI1,IMPFSPED,US,VA,51163,511639000,37.6266,-79.5125,289,6/3/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Jarbidge Wilderness,JARB1,IMPFSPED,US,NV,32007,320079000,41.8926,-115.4261,1869,3/2/88,12/31/18,-999,Unknown,-999,Maho,"ney Forest Service Station, Jarbidge, NV",USFS,IMPROVE,2
Jefferson NF,JEFF1,IMPFSPED,US,VA,51163,511639001,37.6167,-79.4833,219,9/3/94,2/26/00,-999,Unknown,-999,Arno,"ld Valley - Puritan Tract, Natural Bridge, VA",-999,IMPROVE,1
Joshua Tree NP,JOSH1,IMPFSPED,US,CA,6071,60719002,34.06957,-116.38895,1235,2/23/00,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,2
Joshua Tree NP,JOTR1,IMPFSPED,US,CA,6071,60719002,34.06955,-116.38899,1228,9/4/91,12/29/99,-999,Unknown,-999,Lost,Horse Ranger Station,-999,IMPROVE,1
Kaiser,KAIS1,IMPFSPED,US,CA,6019,60199000,37.2207,-119.1546,2597,1/26/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Kalmiopsis,KALM1,IMPFSPED,US,OR,41033,410330010,42.552,-124.0589,80,3/11/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Kenai Peninsula Borough,KPBO1,IMPFSPED,US,AK,2122,-999,60.01232,-151.71149,5,8/19/15,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Lake Sugema,LASU1,IMPFSPED,US,IA,19177,191770006,40.6883,-91.9883,210,5/8/02,11/29/04,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Lake Sugema,LASU2,IMPFSPED,US,IA,-999,-999,40.6932,-92.0059,229,12/2/04,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Lake Tahoe Community College,LTCC1,IMPFSPED,US,CA,6017,-999,38.9248,-119.9799,1935,2/19/14,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Lassen Volcanic NP,LAVO1,IMPFSPED,US,CA,6089,60893003,40.5398,-121.5768,1732,3/2/88,12/31/18,-999,Unknown,-999,Rang,"er station near NW entrance, Manzanita Lake, 25 yds SE of Fire Station",NPS,IMPROVE,2
Lava Beds NM,LABE1,IMPFSPED,US,CA,6093,60930005,41.7117,-121.5068,1459,3/29/00,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,1
Lawrenceville,PITT1,IMPFSPED,US,PA,42003,420030008,40.4654,-79.9607,268,3/1/04,12/31/18,-999,-999,-999,-999,,STN,IMPROVE,1
Linville Gorge,LIGO1,IMPFSPED,US,NC,37011,370110002,35.9723,-81.9331,968,4/1/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Livonia,LIVO1,IMPFSPED,US,IN,18175,181759000,38.5346,-86.2604,281,3/8/01,12/31/10,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Londonderry,LOND1,IMPFSPED,US,NH,-999,-999,42.8624,-71.3801,124,1/3/11,12/31/18,-999,-999,-999,-999,,State of New Hampshi,re             IMPROVE,1
Lone Peak Wilderness,LOPE1,IMPFSPED,US,UT,49049,490499000,40.4449,-111.7081,1768,12/1/93,8/29/01,-999,Unknown,-999,Timp,"anogos Cave, NM",-999,IMPROVE,1
Lostwood,LOST1,IMPFSPED,US,ND,38013,380130004,48.6419,-102.4022,696,12/15/99,12/31/18,-999,Unknown,-999,Refu,ge Headquarters,FWS,IMPROVE,1
Lye Brook Wilderness,LYBR1,IMPFSPED,US,VT,50003,500038001,43.1482,-73.1268,1015,9/4/91,9/30/12,-999,Unknown,-999,Moun,"t Equinox, at the windmills, Manchester, VT",USFS,IMPROVE,1
Lye Brook Wilderness,LYEB1,IMPFSPED,US,VT,50025,500258001,42.9561,-72.9098,882,1/1/12,12/31/18,-999,Unknown,-999,Moun,"t Equinox, at the windmills, Manchester, VT",USFS,IMPROVE,1
Lynden,LYND1,IMPFSPED,US,WA,53073,530730020,48.9533,-122.5586,28,10/16/96,12/29/99,-999,Unknown,-999,FCC,Monitoring Station W of Lyndon,-999,IMPROVE,1
M.K. Goddard,MKGO1,IMPFSPED,US,PA,42085,420859000,41.4269,-80.1453,379,4/4/01,12/31/10,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Makah Tribe,MAKA1,IMPFSPED,US,WA,-999,-999,48.37185,-124.595,-999,9/2/06,10/29/10,-999,-999,-999,-999,,-999,IMPROVE,1
Makah Tribe Site #2,MAKA2,IMPFSPED,US,WA,-999,-999,48.29782,-124.62488,480,11/1/10,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Mammoth Cave NP,MACA1,IMPFSPED,US,KY,21061,210619000,37.1318,-86.1479,235,9/4/91,12/31/18,-999,Unknown,-999,Houc,hin Meadow ozone site off Alfred Cook Road,NPS,IMPROVE,2
Martha's Vineyard,MAVI1,IMPFSPED,US,MA,25007,250070001,41.3309,-70.7846,2,12/1/02,12/31/18,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Meadview,MEAD1,IMPFSPED,US,AZ,4015,40159000,36.0193,-114.0684,902,9/4/91,12/31/18,-999,Unknown,-999,MOHA,VE: DRI Trailer,STATE,IMPROVE,1
Medicine Lake,MELA1,IMPFSPED,US,MT,30091,300919000,48.4871,-104.4757,606,12/15/99,12/31/18,-999,Unknown,-999,-999,,FWS,IMPROVE,2
Mesa Verde NP,MEVE1,IMPFSPED,US,CO,8083,80839000,37.1984,-108.4907,2172,3/2/88,12/31/18,-999,Unknown,-999,Reso,"urce  Management Research Area, Chapin Mesa",NPS,IMPROVE,2
Mingo,MING1,IMPFSPED,US,MO,29207,292070001,36.9717,-90.1432,111,6/3/00,12/31/18,-999,Unknown,-999,-999,,FWS,IMPROVE,1
Mohawk Mt.,MOMO1,IMPFSPED,US,CT,9005,90050005,41.8214,-73.2973,521,9/13/01,12/31/18,-999,Unknown,-999,Obse,"rvation Tower, 10 mi W of Torrington, CT, Mohawk Mountain",STATE,IMPROVE,1
Monture,MONT1,IMPFSPED,US,MT,30077,300779000,47.1222,-113.1544,1282,3/29/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Moosehorn NWR,MOOS1,IMPFSPED,US,ME,23029,230291004,45.1259,-67.2661,77,12/3/94,12/31/18,-999,Unknown,-999,McCo,"nvey Rd, about 1 mi NE of NWR Baring Unit HQ",FWS,IMPROVE,1
Mount Baldy,BALD1,IMPFSPED,US,AZ,4001,40018001,34.0584,-109.4406,2508,3/1/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Mount Hood,MOHO1,IMPFSPED,US,OR,41005,410050010,45.2888,-121.7837,1531,3/15/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Mount Rainier NP,MORA1,IMPFSPED,US,WA,53053,530530014,46.7583,-122.1244,439,3/2/88,12/31/18,-999,Unknown,-999,Park,"HQ, Tahoma Woods, Ashford, WA",NPS,IMPROVE,1
Mount Zirkel Wilderness,MOZI1,IMPFSPED,US,CO,8057,80579000,40.5383,-106.6766,3243,6/1/94,12/31/18,-999,Unknown,-999,Buff,"alo Pass, NE of Steamboat Springs, CO, DRI Storm Peak/ Mount Werner Fa",cility                                              USFS,IMPROVE,1
Nebraska NF,NEBR1,IMPFSPED,US,NE,31171,311719000,41.8888,-100.3387,883,6/1/02,12/31/18,-999,-999,-999,-999,,STATE,IMPROVE,1
Nogales,NOGA1,IMPFSPED,US,AZ,4023,-999,31.33745,-110.93715,1172,10/27/15,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
North Absaroka,NOAB1,IMPFSPED,US,WY,56029,560299002,44.7448,-109.3816,2482,1/26/00,12/31/18,-999,Unknown,-999,Dead,"Indian Summit, NW of Cody, WY",USFS,IMPROVE,1
North Birmingham,BIRM1,IMPFSPED,US,AL,1073,10730023,33.5531,-86.8148,175,3/1/04,12/31/18,-999,-999,-999,-999,,STM,IMPROVE,1
North Cascades,NOCA1,IMPFSPED,US,WA,53073,530730022,48.7316,-121.0646,568,7/30/97,12/31/18,-999,Unknown,-999,Ross,Dam,NPS,IMPROVE,1
Northern Cheyenne,NOCH1,IMPFSPED,US,MT,30087,300870762,45.6495,-106.5574,1283,6/1/02,12/31/18,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Okefenokee NWR,OKEF1,IMPFSPED,US,GA,13049,130499000,30.7405,-82.1283,48,9/4/91,12/31/18,-999,Unknown,-999,Head,"quarters, 3-4 mi W of GA Rt. 121",FWS,IMPROVE,1
Old Town,OLTO1,IMPFSPED,US,ME,23019,230194003,44.9334,-68.6457,51,6/27/01,5/29/06,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Olympic,OLYM1,IMPFSPED,US,WA,53009,530090020,48.0065,-122.9727,599,7/12/01,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,2
Omaha,OMAH1,IMPFSPED,US,NE,31173,311739000,42.1487,-96.4318,429,6/2/03,8/4/08,-999,-999,-999,-999,,TRIBE,IMPROVE,1
Organ Pipe,ORPI1,IMPFSPED,US,AZ,4019,40190005,31.9506,-112.8016,504,12/1/02,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Owens Valley,OWVL1,IMPFSPED,US,CA,6027,-999,37.3607,-118.3308,1234,6/27/13,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Pack Monadnock Summit,PACK1,IMPFSPED,US,NH,33011,-999,42.8619,-71.8786,695,10/3/07,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Pasayten,PASA1,IMPFSPED,US,WA,53047,530470012,48.3877,-119.9275,1627,11/2/00,12/31/18,-999,Unknown,-999,Loup,"-loup ski area, Hwy 20 E of Twisp, WA",USFS,IMPROVE,1
Penobscot,PENO1,IMPFSPED,US,ME,23019,-999,44.94798,-68.64786,45,1/11/06,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Petersburg,PETE1,IMPFSPED,US,AK,2280,22809000,56.61076,-132.81234,0,7/2/04,9/28/09,-999,-999,-999,-999,,USFS,IMPROVE,1
Petrified Forest NP,PEFO1,IMPFSPED,US,AZ,4017,40170119,35.0777,-109.7692,1766,3/2/88,12/31/18,-999,Unknown,-999,1 mi,le N of Park Headquarters,NPS,IMPROVE,1
Phoenix,PHOE1,IMPFSPED,US,AZ,4013,40139997,33.5038,-112.0958,342,4/19/01,12/31/18,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Phoenix Colocated Sampler,PHOE5,IMPFSPED,US,AZ,4013,-999,33.5038,-112.0958,342,1/1/05,12/31/18,Unknown,Unknown,-999,-999,,EPA,IMPROVE,2
Pinnacles NM,PINN1,IMPFSPED,US,CA,6069,60690003,36.4833,-121.1568,302,3/2/88,12/31/18,-999,Unknown,-999,2-Jan,"mile SW of Pinnacles, E entrance",NPS,IMPROVE,1
Point Reyes National Seashore,PORE1,IMPFSPED,US,CA,6041,60410002,38.1224,-122.9085,97,3/2/88,12/31/18,-999,Unknown,-999,Nort,h District Ranger Station,NPS,IMPROVE,1
Presque Isle,PRIS1,IMPFSPED,US,ME,23003,230031020,46.6964,-68.0333,165,3/8/01,12/31/18,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Proctor Maple R. F.,PMRF1,IMPFSPED,US,VT,50007,500070007,44.5284,-72.8688,401,12/1/93,12/31/18,-999,Unknown,-999,5 Mi,"les N. of Underhill, VT, 2 mi NE of Underhill Center, VT",STATE,IMPROVE,2
Puget Sound,PUSO1,IMPFSPED,US,WA,53033,530330080,47.5696,-122.3119,97,3/2/96,12/31/18,-999,Unknown,-999,Next,"to reservoir East of I-5 on Union Hill, downtown Seattle, WA",EPA,IMPROVE,1
Quabbin Summit,QURE1,IMPFSPED,US,MA,25015,250154002,42.2985,-72.3346,317,4/4/01,12/29/15,-999,Unknown,-999,Wind,"sor Dam on Loop Road, 5 mi W of Ware, MA, Quabbin Summit",STATE,IMPROVE,2
Quaker City,QUCI1,IMPFSPED,US,OH,39121,391219000,39.9428,-81.3378,366,4/4/01,12/31/18,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Queen Valley,QUVA1,IMPFSPED,US,AZ,4021,40218001,33.2939,-111.2858,661,4/19/01,12/29/15,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Redwood NP,REDW1,IMPFSPED,US,CA,6015,60150002,41.5608,-124.0839,243,3/2/88,12/31/18,-999,Unknown,-999,Old,USAF radar facility 1/2 mile E of beach and 1/2 mile N of Klamath Rive,"r, near Requa, CA                                   NPS",IMPROVE,1
Ripple Creek,RICR1,IMPFSPED,US,CO,8103,-999,40.0865,-107.3141,2934,3/2/09,10/30/11,-999,-999,-999,-999,,-999,IMPROVE,1
Rocky Mountain NP,ROMO1,IMPFSPED,US,CO,8069,80699001,40.2783,-105.5457,2760,9/1/90,12/31/18,-999,Unknown,-999,3 mi,"S of Lily Lake VC, Ozone monitoring shelter 15 miles from ROMO1",-999,IMPROVE,1
Rocky Mountain NP HQ,RMHQ1,IMPFSPED,US,CO,8069,80699000,40.3624,-105.5638,2408,3/2/88,12/29/99,-999,Unknown,-999,Park,Headquarters at bone yard,-999,IMPROVE,1
Rubidoux,RUBI1,IMPFSPED,US,CA,6065,60658001,33.9996,-117.4161,247,9/3/04,8/29/05,-999,-999,-999,-999,,-999,IMPROVE,1
Sac and Fox,SAFO1,IMPFSPED,US,KS,20013,200139000,39.9791,-95.5682,293,6/1/02,6/29/11,-999,-999,-999,-999,,TRIBE,IMPROVE,2
Saguaro NM,SAGU1,IMPFSPED,US,AZ,4019,40190021,32.1746,-110.7371,941,6/1/88,12/31/18,-999,Unknown,-999,2-Jan,mile south of Headquarters,NPS,IMPROVE,1
